Home University Name,Main Location,Districts Covered under Jurisdiction
University of Mumbai (MU),Mumbai,"Mumbai City, Mumbai Suburbs, Thane, Raigad, Palghar, Ratnagiri, Sindhudurg"
Savitribai Phule Pune University (SPPU),Pune,"Pune, Ahmednagar, Nashik"
Rashtrasant Tukadoji Maharaj Nagpur University (RTMNU),Nagpur,"Nagpur, Wardha, Bhandara, Gondia, Gadchiroli, Chandrapur"
Dr. Babasaheb Ambedkar Marathwada University (BAMU),Chhatrapati Sambhajinagar,"Chhatrapati Sambhajinagar (Aurangabad), Jalna, Beed, Osmanabad (Dharashiv)"
Shivaji University (SUK),Kolhapur,"Kolhapur, Sangli, Satara"
Kavayitri Bahinabai Chaudhari North Maharashtra University (KBCNMU),Jalgaon,"Jalgaon, Dhule, Nandurbar"
Sant Gadge Baba Amravati University (SGBAU),Amravati,"Amravati, Akola, Yavatmal, Buldhana, Washim"
Swami Ramanand Teerth Marathwada University (SRTMUN),Nanded,"Nanded, Latur, Parbhani, Hingoli"
Punyashlok Ahilyadevi Holkar Solapur University,Solapur,Solapur
Gondwana University,Gadchiroli,"Gadchiroli, Chandrapur (Engineering colleges vary by affiliation)"
Dr. Babasaheb Ambedkar Technological University (DBATU) / ICT / State Level,Lonere / Mumbai,Note: Autonomous institutes or state-level university seats do not strictly use regional HU constraints.
